Gender,Age,Education level,Major,Administrative regions,Number of use Internet and Internet-related services,Internet/ Digital devices skills level,Digital devices type,Type of connectivity,Purpose of using internet,Operating system of desktop/laptop,Operating system of smartphone/tablet,Common security tools,Secure of person's digital devices,Legitimacy of a website,Password with personal information,Aware of the danger of clicking pop-up screens,Attention to person's account privacy,Protection of social media services for personal info,Read terms and conditions of website,Change the important accounts passwords frequently,Using public Wi-Fi,No value for my digital devices to hackers,Install software updates regularly,Careful about clicking on links in an email or other post,Digital devices with Internet security tool,Internet security tool up to date,Keep yourself updated about cybercrime (offline Sources),Keep yourself updated about cybercrime (Online Sources),Avoid disclosing personal information online,Risk of becoming a victim of cybercrime has increased,Online personal information is not secure enough,Well protected against cybercrime,Accept increased Internet surveillance from the government,Laws are effective in managing the cybercrime problem,Informed about the threat of cybercrime,Received phishing emails,Stealing your personal data,Malware infection of a device,Being unable to access online services because of cyber attacks,Encountering material promotes hatred or religious extremism,Online extortion,Concerned about identity theft,Not concerned about encountering child pornography online,Concerned about receiving phishing emails,Concerned about not being able to access online services because of cyber attacks,Concerned about encountering material promotes hatred or religious extremism,Concerned about encountering online extortion,Feeling about the threat of cybercrimes in the future,Responsibility of government in raising awareness of cybercrime,Responsibility of media in raising awareness of cybercrime,Responsibility of those offering online/Internet-based servicesin raising awareness of cybercrime,Responsibility of user itself in raising awareness of cybercrime,Responsibility of education system in raising awareness of cybercrime,Role of the government in combating cybercrimes,Victim of cybercrime,Report cybercrime,To who report cybercrime
Female,18-29,"Postgraduate (Master’s, PhD)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Desktop, Laptop, Smartphone",Mobile/cellular phone network (e.g. 3G/4G),"Education, Social networks, Online services, Communication",Windows 10,IOS,Anti-virus,Neutral,Always,Never,Always,Always,Sometimes,Often,Often,Never,Sometimes,Always,Always,"Desktop, Laptop","Yes, I believe it is automatically updated","Newspapers, magazines, Posters","TV, news, radio, Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Always,Always,Always,Do not know,Never,Never,Always,Sometimes,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No role,Yes,"No, I would not","Saudi eGovernment Portal , Saudi CERT"
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Social networks, Communication",Windows 10,"IOS, Android","Anti-virus, Authentication (e.g. password, PIN)",Somewhat secure,Never,Always,Always,Always,Often,Sometimes,Often,Seldom,Seldom,Never,Always,Desktop,"Yes, I manually updated","Newspapers, magazines, Posters","TV, news, radio, Internet, website, email bulletins, blogs, etc.",Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Disagree,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Never,Always,Never,Never,Never,Never,Don't know,Agree,Agree,Agree,Agree,Agree,Monitor organisations misusing consumer information,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT"
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Tablet,Mobile/cellular phone network (e.g. 3G/4G),"Education, Social networks, Online services, Communication",Windows 10,Android,"Anti-virus, Authentication (e.g. password, PIN)",Somewhat secure,Often,Often,Always,Always,Often,Sometimes,Often,Never,Always,Always,Always,Laptop,"Yes, I believe it is automatically updated","Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Government or professional reports","TV, news, radio, Internet, website, email bulletins, blogs, etc.",Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Always,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,The threat will vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,Yes,"No, I would not",Bank
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Communication",mac OS,IOS,"Anti-virus, Authentication (e.g. password, PIN)",Somewhat secure,Sometimes,Never,Often,Seldom,Often,Never,Never,Seldom,Often,Often,Seldom,Laptop,I don't know,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Never,Never,Do not know,Sometimes,Never,Never,Never,Do not know,Always,Always,Always,Always,Don't know,Agree,Agree,Agree,Agree,Disagree,Don’t know,No,"No, I would not",Saudi CERT
Male,18-29,"Undergraduate (Diploma, BSc)",Engineering,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Desktop, Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",mac OS,IOS,Anti-virus,Somewhat secure,Often,Seldom,Always,Often,Sometimes,Seldom,Never,Seldom,Sometimes,Sometimes,Always,Laptop,No,I do not feel that I keep myself updated,"TV, news, radio, Internet, website, email bulletins, blogs, etc.",Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Never,Never,Do not know,Do not know,Sometimes,Do not know,Always,Always,Always,Sometimes,Always,Sometimes,They will become a more serious issue in the future,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,No role,Yes,"No, I would not",Saudi CERT
Female,40-49,"Postgraduate (Master’s, PhD)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks,  Online services, Communication",Windows 10,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Software update,Backup",Somewhat secure,Often,Seldom,Always,Often,Never,Never,Always,Sometimes,Often,Always,Always,"Laptop, Smartphone","No, I think it is automatically updated","Newspapers, magazines, Posters, Government or professional reports","TV, news, radio, Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT)",Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Always,Always,Never,Never,Always,Never,Always,Always,Do not know,Do not know,Do not know,Do not know,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,Yes,"No, I would not",Saudi CERT
Female,18-29,"Postgraduate (Master’s, PhD)",Biotechnology,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Desktop, Laptop, Smartphone","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home)","Professional reasons, Education, Social networks, Entertainment","Windows 10, Windows 8",Android,Anti-virus,Somewhat secure,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,None of the above,"Yes, I manually updated","Newspapers, magazines, Posters","TV, news, radio, Internet, website, email bulletins, blogs, etc.",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,They will become a more serious issue in the future,Agree,Agree,Agree,Agree,Agree,Make people aware of cyber crime,No,"Yes, I would",Saudi CERT
Female,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone",Private Wi-Fi (e.g. in your home),"Education, Social networks, Entertainment",Windows 7,Windows,None,Somewhat secure,Often,Never,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,"Laptop, Smartphone","Yes, I believe it is automatically updated",Internet service provider ISPs,"Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT)",Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Never,Never,Never,Never,Always,Sometimes,They will become a more serious issue in the future,Strongly Agree,Agree,Neutral,Neutral,Neutral,Have stricter laws and punishments for cyber crimes,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT"
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Windows 8,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Backup",Somewhat insecure,Always,Never,Always,Always,Never,Seldom,Always,Never,Seldom,Always,Often,Laptop,"Yes, I manually updated",Government or professional reports,I do not feel that I keep myself updated,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Always,Never,Sometimes,Never,Never,Never,Never,Do not know,Always,Always,Do not know,Do not know,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Don’t know,Yes,"No, I would not",Saudi eGovernment Portal
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Laptop,Mobile/cellular phone network (e.g. 3G/4G),Social networks,Windows 8,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Backup",Somewhat secure,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Laptop,"Yes, I manually updated","Newspapers, magazines, Posters","TV, news, radio",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Monitor organisations misusing consumer information,No,"Yes, I would",Saudi eGovernment Portal
