record_id,Education,Social networks,Online services,Communication,Professional reasons,Entertainment
0,1,1,1,1,0,0
1,0,1,0,1,0,0
2,1,1,1,1,0,0
3,1,1,1,1,1,0
4,1,1,1,1,0,1
5,1,1,1,1,1,0
6,1,1,0,0,1,1
7,1,1,0,0,0,1
8,1,1,1,1,0,1
9,0,1,0,0,0,0
10,1,0,1,1,1,1
11,0,1,0,0,0,0
12,1,0,0,0,0,0
13,0,1,0,0,0,0
14,1,1,1,1,1,1
15,1,1,1,1,1,0
16,1,1,1,0,0,0
17,1,1,1,1,0,1
18,1,1,1,1,0,1
19,1,1,1,1,0,0
20,0,1,0,0,0,0
21,1,1,1,1,1,1
22,0,1,0,0,0,0
23,0,1,1,0,0,1
24,1,1,1,1,0,1
25,1,1,1,0,0,0
26,1,1,1,1,1,0
27,1,1,1,1,1,1
28,1,0,1,0,0,0
29,0,1,1,1,0,1
30,1,1,1,1,0,1
31,0,1,1,1,0,0
32,1,1,0,1,1,1
33,1,1,1,1,0,1
34,0,0,1,0,0,0
35,0,1,1,1,0,0
36,1,1,0,1,0,1
37,1,1,1,1,0,1
38,1,1,1,1,1,0
39,1,1,1,0,1,1
40,0,1,1,1,0,0
41,1,1,0,1,1,0
42,1,1,1,1,1,0
43,1,1,1,0,0,0
44,1,1,1,1,0,0
45,1,1,1,0,0,0
46,1,1,1,1,0,0
47,1,1,0,0,0,0
48,1,1,1,1,0,0
49,1,1,1,1,0,1
50,1,0,0,0,0,0
51,0,1,0,1,0,0
52,0,1,1,1,0,0
53,1,1,1,1,0,0
54,1,0,0,0,0,0
55,1,1,1,1,1,1
56,1,1,1,1,1,0
57,1,1,1,1,0,1
58,1,1,1,0,0,0
59,1,0,0,1,0,1
60,1,1,1,0,0,0
61,0,1,0,0,0,0
62,0,0,0,1,0,0
63,1,1,1,1,0,1
64,0,0,0,1,1,0
65,0,1,0,0,0,0
66,0,0,0,0,0,1
67,1,1,1,1,1,0
68,1,1,0,1,0,1
69,1,0,0,0,0,0
70,0,1,1,1,0,0
71,1,0,0,0,0,0
72,1,1,1,1,1,0
73,1,1,1,1,1,0
74,1,1,1,1,0,0
75,1,1,1,1,0,1
76,1,0,1,1,1,0
77,1,1,1,1,0,0
78,1,1,1,1,1,0
79,1,0,0,0,0,0
80,1,1,1,1,0,0
81,1,1,1,1,1,1
82,1,1,1,1,1,0
83,1,1,1,1,1,1
84,1,1,1,1,1,0
85,0,1,0,1,0,0
86,1,0,1,1,0,0
87,1,1,1,1,0,0
