Age,Education level,Number of use Internet and Internet-related services,Internet/ Digital devices skills level,Secure of person's digital devices,Legitimacy of a website,Password with personal information,Aware of the danger of clicking pop-up screens,Attention to person's account privacy,Protection of social media services for personal info,Read terms and conditions of website,Change the important accounts passwords frequently,Using public Wi-Fi,No value for my digital devices to hackers,Install software updates regularly,Careful about clicking on links in an email or other post,Internet security tool up to date,Avoid disclosing personal information online,Risk of becoming a victim of cybercrime has increased,Online personal information is not secure enough,Well protected against cybercrime,Accept increased Internet surveillance from the government,Laws are effective in managing the cybercrime problem,Informed about the threat of cybercrime,Received phishing emails,Stealing your personal data,Malware infection of a device,Being unable to access online services because of cyber attacks,Encountering material promotes hatred or religious extremism,Online extortion,Concerned about identity theft,Not concerned about encountering child pornography online,Concerned about receiving phishing emails,Concerned about not being able to access online services because of cyber attacks,Concerned about encountering material promotes hatred or religious extremism,Concerned about encountering online extortion,Feeling about the threat of cybercrimes in the future,Responsibility of government in raising awareness of cybercrime,Responsibility of media in raising awareness of cybercrime,Responsibility of those offering online/Internet-based servicesin raising awareness of cybercrime,Responsibility of user itself in raising awareness of cybercrime,Responsibility of education system in raising awareness of cybercrime,Victim of cybercrime,Report cybercrime,Gender_Female,Gender_Male,Major_Actuarial Science,Major_Administrative Sciences,Major_Applied math,Major_Applied science,Major_Arabic Language,Major_Arts,Major_Automotaive Mechanics,Major_Aviation,Major_Biology,Major_Biotechnology,Major_Business Administration,Major_Chemsitry,Major_Computer Science,Major_Counting,Major_Designing,Major_Economic,Major_Education,Major_Engineering,Major_English,Major_Environmental Science,Major_Finance,Major_General Administration,Major_Graphic design,Major_History,Major_Human Resources,Major_Information System,Major_Information Technology,Major_Information and Libraries,Major_Interial Designing,Major_Islamic economy,Major_Islamic studies,Major_Kindergarden,Major_Laboratory water quality,Major_Languages,Major_Law,Major_Library Adminstration,Major_Library Managment,Major_Literature,Major_Math,Major_Mechanic- Prpducing Department,Major_Media,Major_Medicine or public health,Major_Natural Science,Major_Nuturion Science,Major_Physics,Major_Preuniversity,Major_Pure Science,Major_Science,Major_Science of Hadith,Major_Social Science,Major_Software Engineering,Major_Special Education,Major_Sport,Major_Statics,Major_psychology,Administrative regions_Aljawf,Administrative regions_Asir,Administrative regions_Baha,Administrative regions_Eastern Province,Administrative regions_Ha'il,Administrative regions_Jazan,Administrative regions_Madina,Administrative regions_Makkah,Administrative regions_Najran,Administrative regions_Northern Borders,Administrative regions_Qassim,Administrative regions_Riyadh,Administrative regions_Tabuk,Role of the government in combating cybercrimes_Don’t know,Role of the government in combating cybercrimes_Have stricter laws and punishments for cyber crimes,Role of the government in combating cybercrimes_Make people aware of cyber crime,Role of the government in combating cybercrimes_Monitor organisations misusing consumer information,Role of the government in combating cybercrimes_No role,Role of the government in combating cybercrimes_Work towards providing a global cyber security framework,Mobile/cellular phone network (e.g. 3G/4G),Private Wi-Fi (e.g. in your home),Public Wi-Fi (e.g. in coffee shop),I don't know,Broadband (wired),Education,Social networks,Online services,Communication,Professional reasons,Entertainment,Windows 10,mac OS,Windows 8,Windows 7,I don't know,Linux,Old Windows version,Kali,IOS,Android,Windows,I don't know,Blackberry,Kali,Anti-virus,Authentication (e.g. password,PIN),Software update,Backup,None,Firewall,Encryption,Cloud storage.e.g: box,Dropbox,Saudi eGovernment Portal,Saudi CERT,Bank,Don’t know but will ask my friends for advice,Police,Committee for the Promotion of Virtue and the Prevention of Vice,Apple store,Don't remember,Specilist,Other-AMN,My work,Technical Support in my job,Other-MoC,Other-Internet Providers,Other- Call 911,Facebook,Microsoft,Other- Search on Internet,My Family,Friends,Other,Other- Family,No one,Other-Ask Father,Other- Contact with Specilisit,Desktop,Laptop,Smartphone,None of the above,Tablet,I don't know,Desktop1,Laptop1,Smartphone1,Tablet1,AppleTV1,Smartwatch1,Newspapers,magazines,Posters,Professional activities: conferences,meetings,briefings,etc.,Government or professional reports,I do not feel that I keep myself updated,Internet service provider ISPs,Other,Other- Social Media,Other- TV and Radio,Social Media,Tv programs and you type,etc..,TV1,news1,radio1,Internet1,website1,email bulletins1,blogs1,etc.1,Government websites (e.g. CERT)1,I do not feel that I keep myself updated1,Rely on automatic updates1,Internet service provider ISPs1,Other- Messages from Communication Company1,Others: Twitter1,Other- Twitter1,etc..1
0,3,2,1,3,4,0,4,4,2,3,3,0,2,4,4,3,4,4,4,2,4,3,2,1.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3,4,4,4,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,2,2,1,4,0,4,4,4,3,2,3,1,1,0,4,4,3,2,3,3,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,3.0,3.0,0,3,3,3,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,2,2,1,4,3,3,4,4,3,2,3,0,4,4,4,3,4,3,0,2,4,4,2,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1,4,4,4,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,2,2,1,4,2,0,3,1,3,0,0,1,3,3,1,2,3,2,1,1,2,2,1,3.0,3.0,0.0,2.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0,3,3,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
0,2,2,1,4,3,1,4,3,2,1,0,1,2,2,4,0,3,2,2,2,0,2,3,3.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3,3,2,4,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,3,2,1,4,3,1,4,3,0,0,4,2,3,4,4,1,4,4,3,0,3,1,2,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3,4,4,4,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
0,3,2,1,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3,3,3,3,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2,2,2,1,4,3,0,3,3,3,3,3,2,2,2,2,3,2,2,2,2,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,3,4,3,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
0,2,2,1,2,4,0,4,4,0,1,4,0,1,4,3,4,4,2,3,0,4,2,3,1.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,3,4,4,3,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4,4,4,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
